"#","Name","Agent Type","Short Description","Agent in the repo","Prompt 1 Type","Prompt 1","URL Prompt 1","Prompt 2 Type","Prompt 2","URL Prompt 2","URL Tool 1","URL Tool 2","URL Tool 3","Comments"
"1","BaseAgent","Base agent","Base agent","https://github.com/microsoft/debug-gym/blob/f260483f06f4083db8c21f60e64e3c109943167c/debug_gym/agents/base_agent.py#L88","","","","","","","","","","- History tracker: https://github.com/microsoft/debug-gym/blob/f260483f06f4083db8c21f60e64e3c109943167c/debug_gym/agents/history_tracker.py#L8"
"2","FroggyAgent","Base agent","base agent with shortcut_features","https://github.com/microsoft/debug-gym/blob/f260483f06f4083db8c21f60e64e3c109943167c/debug_gym/agents/froggy_agent.py#L19","","","","","","","","","",""
"3","SimpleAgent","Base agent","Simple agent","https://github.com/microsoft/debug-gym/blob/f260483f06f4083db8c21f60e64e3c109943167c/debug_gym/agents/simple_agent.py#L100","SYSTEM"," system_prompt: str = """"""You are a helpful assistant that can interact with a computer to solve tasks.
<IMPORTANT>
* If user provides a path, you should NOT assume it's relative to the current working directory. Instead, you should explore the file system to find the file before working on it.
</IMPORTANT>

You have access to the following functions:

{tools_description}

If you choose to call a function ONLY reply in the following format with NO suffix:

Provide any reasoning for the function call here.
<function=example_function_name>
<parameter=example_parameter_1>value_1</parameter>
<parameter=example_parameter_2>
This is the value for the second parameter
that can span
multiple lines
</parameter>
</function>

<IMPORTANT>
Reminder:
- Function calls MUST follow the specified format, start with <function= and end with </function>
- Required parameters MUST be specified
- Only call one function at a time
- Always provide reasoning for your function call in natural language BEFORE the function call (not after)
</IMPORTANT>
""""""","https://github.com/microsoft/debug-gym/blob/f260483f06f4083db8c21f60e64e3c109943167c/debug_gym/agents/simple_agent.py#L59","HUMAN","    instance_prompt: str = """"""
I have uploaded a python code repository in the /testbed directory.

Now consider the following instructions:

\n\n{{ info.instructions }}\n\n

Can you help me solve the issue?
""""""
","https://github.com/microsoft/debug-gym/blob/f260483f06f4083db8c21f60e64e3c109943167c/debug_gym/agents/simple_agent.py#L88","https://github.com/microsoft/debug-gym/blob/f260483f06f4083db8c21f60e64e3c109943167c/debug_gym/gym/tools/tool.py#L41","","",""
"4","AgentSolution","Patcher","   """"""Agent that applies the gold patch and submits - used for testing environments.""""""","https://github.com/microsoft/debug-gym/blob/f260483f06f4083db8c21f60e64e3c109943167c/debug_gym/agents/solution_agent.py#L10","","","","","","","","","",""
